graph,assortativity,clustering,density,target
graph_0.npz,-0.9410147246251049,0.007666666666666666,0.03575757575757576,-0.95
graph_1.npz,-0.8430008948054191,0.005476190476190476,0.03373737373737374,-0.8444444444444444
graph_2.npz,-0.7313714006243252,0.035944444444444446,0.039595959595959594,-0.7388888888888888
graph_3.npz,-0.6261248814440306,0.017976190476190475,0.036565656565656565,-0.6333333333333333
graph_4.npz,-0.5179918387535561,0.030325396825396825,0.03878787878787879,-0.5277777777777777
graph_5.npz,-0.41292881556183875,0.028476190476190478,0.03737373737373737,-0.42222222222222217
graph_6.npz,-0.31695940766834635,0.05265079365079365,0.041616161616161614,-0.31666666666666665
graph_7.npz,-0.21131715161566,0.0633095238095238,0.037171717171717175,-0.21111111111111103
graph_8.npz,-0.10567804646752045,0.037476190476190475,0.04141414141414142,-0.10555555555555551
graph_9.npz,-5.551115123125783e-16,0.044039682539682545,0.04202020202020202,0.0
graph_10.npz,0.1058089870109606,0.06257936507936508,0.043434343434343436,0.10555555555555562
graph_11.npz,0.21138167093388477,0.027458874458874457,0.04080808080808081,0.21111111111111125
graph_12.npz,0.3084538641462604,0.029761904761904764,0.040202020202020204,0.31666666666666665
graph_13.npz,0.4202090592334475,0.024,0.04202020202020202,0.4222222222222223
graph_14.npz,0.5188158273280334,0.040999999999999995,0.04262626262626262,0.5277777777777779
graph_15.npz,0.6299957954067654,0.035333333333333335,0.035555555555555556,0.6333333333333333
graph_16.npz,0.7302763777711889,0.011285714285714286,0.03595959595959596,0.7388888888888889
graph_17.npz,0.8351361432301405,0.03233333333333333,0.03434343434343434,0.8444444444444446
graph_18.npz,0.9416941694169408,0.06133333333333334,0.042828282828282827,0.95
graph_19.npz,-0.9405000648147445,0.010333333333333332,0.03494949494949495,-0.95
graph_20.npz,-0.8345277339830883,0.027000000000000003,0.03393939393939394,-0.8444444444444444
graph_21.npz,-0.7354453446491044,0.019333333333333334,0.04,-0.7388888888888888
graph_22.npz,-0.624402982510393,0.008142857142857143,0.037575757575757575,-0.6333333333333333
graph_23.npz,-0.5323337413300675,0.04923809523809524,0.033535353535353536,-0.5277777777777777
graph_24.npz,-0.41754385964912333,0.019952380952380954,0.04080808080808081,-0.42222222222222217
graph_25.npz,-0.30743830816928364,0.04803823953823953,0.04242424242424243,-0.31666666666666665
graph_26.npz,-0.21109537988787788,0.04306349206349206,0.041616161616161614,-0.21111111111111103
graph_27.npz,-0.10569241450831839,0.03744139194139194,0.039191919191919194,-0.10555555555555551
graph_28.npz,0.0007099247479772303,0.013095238095238096,0.03777777777777778,0.0
graph_29.npz,0.10582985159560916,0.05313492063492063,0.04242424242424243,0.10555555555555562
graph_30.npz,0.21088690253171427,0.0306984126984127,0.04181818181818182,0.21111111111111125
graph_31.npz,0.3167044219295856,0.02276190476190476,0.0397979797979798,0.31666666666666665
graph_32.npz,0.41538842157347894,0.047912698412698414,0.041212121212121214,0.4222222222222223
graph_33.npz,0.5273850455822979,0.040095238095238094,0.03171717171717172,0.5277777777777779
graph_34.npz,0.62704480718185,0.029904761904761906,0.039191919191919194,0.6333333333333333
graph_35.npz,0.7321848980763708,0.04071428571428571,0.035555555555555556,0.7388888888888889
graph_36.npz,0.834571480340643,0.030333333333333334,0.033535353535353536,0.8444444444444446
graph_37.npz,0.9401285490156367,0.036000000000000004,0.03676767676767677,0.95
graph_38.npz,-0.9422995963448143,0.026333333333333334,0.03474747474747475,-0.95
graph_39.npz,-0.835886332299206,0.006,0.039191919191919194,-0.8444444444444444
graph_40.npz,-0.7322563110427915,0.03319047619047619,0.044848484848484846,-0.7388888888888888
graph_41.npz,-0.6235896876873604,0.04383333333333333,0.04,-0.6333333333333333
graph_42.npz,-0.525985526189224,0.025658730158730155,0.038585858585858585,-0.5277777777777777
graph_43.npz,-0.42214319643613846,0.036349206349206346,0.04262626262626262,-0.42222222222222217
graph_44.npz,-0.3164863433456926,0.040007936507936506,0.04040404040404041,-0.31666666666666665
graph_45.npz,-0.21118654791453875,0.035476190476190474,0.043434343434343436,-0.21111111111111103
graph_46.npz,-0.1057915585302563,0.02007936507936508,0.038181818181818185,-0.10555555555555551
graph_47.npz,-0.00011309658448355628,0.04832539682539682,0.03737373737373737,0.0
graph_48.npz,0.10547049870176413,0.034055555555555554,0.039191919191919194,0.10555555555555562
graph_49.npz,0.20352525815614192,0.02488888888888889,0.04202020202020202,0.21111111111111125
graph_50.npz,0.3107025439688467,0.01938095238095238,0.04242424242424243,0.31666666666666665
graph_51.npz,0.43212680855266405,0.013404761904761904,0.037171717171717175,0.4222222222222223
graph_52.npz,0.5196078431372554,0.02507142857142857,0.039595959595959594,0.5277777777777779
graph_53.npz,0.6238986344398,0.024714285714285716,0.040202020202020204,0.6333333333333333
graph_54.npz,0.7320294892853048,0.04542857142857143,0.044848484848484846,0.7388888888888889
graph_55.npz,0.8345999723642392,0.03166666666666666,0.03393939393939394,0.8444444444444446
graph_56.npz,0.9412770943175159,0.03,0.03616161616161616,0.95
graph_57.npz,-0.940144478844169,0.008,0.03494949494949495,-0.95
graph_58.npz,-0.8364142867685059,0.015023809523809524,0.03414141414141414,-0.8444444444444444
graph_59.npz,-0.7291062735874849,0.025976190476190476,0.03696969696969697,-0.7388888888888888
graph_60.npz,-0.6240351009529559,0.023809523809523808,0.04080808080808081,-0.6333333333333333
graph_61.npz,-0.5215737563293421,0.04430952380952381,0.04262626262626262,-0.5277777777777777
graph_62.npz,-0.4257840663302086,0.045309523809523806,0.040202020202020204,-0.42222222222222217
graph_63.npz,-0.31651376146789084,0.03877777777777778,0.03535353535353535,-0.31666666666666665
graph_64.npz,-0.2117121074569765,0.05016450216450217,0.04080808080808081,-0.21111111111111103
graph_65.npz,-0.10536945469740214,0.041730158730158735,0.03878787878787879,-0.10555555555555551
graph_66.npz,0.00013603591348063178,0.04003174603174603,0.04040404040404041,0.0
graph_67.npz,0.10594246949473549,0.025619047619047618,0.03575757575757576,0.10555555555555562
graph_68.npz,0.21167050773361126,0.03833333333333333,0.04242424242424243,0.21111111111111125
graph_69.npz,0.30854259962587177,0.03195238095238095,0.04323232323232323,0.31666666666666665
graph_70.npz,0.41247002398081534,0.03223809523809524,0.04242424242424243,0.4222222222222223
graph_71.npz,0.5208124677047904,0.04592063492063492,0.04262626262626262,0.5277777777777779
graph_72.npz,0.6250759006881669,0.024214285714285712,0.04101010101010101,0.6333333333333333
graph_73.npz,0.7297750923128583,0.013476190476190475,0.03676767676767677,0.7388888888888889
graph_74.npz,0.8346783149478042,0.034,0.04101010101010101,0.8444444444444446
graph_75.npz,0.940798753657972,0.036000000000000004,0.0298989898989899,0.95
graph_76.npz,-0.9427287064287394,0.011,0.03616161616161616,-0.95
graph_77.npz,-0.8358744861320696,0.011142857142857144,0.03636363636363636,-0.8444444444444444
graph_78.npz,-0.7323437874072307,0.03496031746031746,0.040606060606060604,-0.7388888888888888
graph_79.npz,-0.630148041150422,0.004476190476190476,0.04080808080808081,-0.6333333333333333
graph_80.npz,-0.5187645231195018,0.010166666666666666,0.03898989898989899,-0.5277777777777777
graph_81.npz,-0.4161628883291362,0.019753968253968253,0.03696969696969697,-0.42222222222222217
graph_82.npz,-0.3083110884805095,0.0512063492063492,0.04464646464646465,-0.31666666666666665
graph_83.npz,-0.20945835378824904,0.020587301587301585,0.03838383838383838,-0.21111111111111103
graph_84.npz,-0.10559756681874151,0.0341984126984127,0.04323232323232323,-0.10555555555555551
graph_85.npz,-4.951720723045053e-05,0.025111111111111112,0.038181818181818185,0.0
graph_86.npz,0.10528766049201228,0.02815079365079365,0.040606060606060604,0.10555555555555562
graph_87.npz,0.21167042195821378,0.05584126984126984,0.04,0.21111111111111125
graph_88.npz,0.3113964686998394,0.03919047619047619,0.038181818181818185,0.31666666666666665
graph_89.npz,0.4183767199174256,0.03645238095238095,0.03737373737373737,0.4222222222222223
graph_90.npz,0.5234449192782524,0.043,0.043838383838383836,0.5277777777777779
graph_91.npz,0.6245001462986439,0.01980952380952381,0.04040404040404041,0.6333333333333333
graph_92.npz,0.7304063074061813,0.03197619047619048,0.03616161616161616,0.7388888888888889
graph_93.npz,0.8354962749339112,0.02914285714285714,0.044848484848484846,0.8444444444444446
graph_94.npz,0.9404220789125265,0.074,0.043838383838383836,0.95
